sim_name	configuration	prop_orientalis	prop_used	n_orientalis	n_target	run_id	seed	cfg_file	quanti_file	stage_file
multi_cluster_p10_r01	multi_cluster	0.1	0.0992	62	62.5	1	110300	input/input_files/configs_txt/multi_cluster_p10_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r01.txt
multi_cluster_p10_r02	multi_cluster	0.1	0.0992	62	62.5	2	110301	input/input_files/configs_txt/multi_cluster_p10_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r02.txt
multi_cluster_p10_r03	multi_cluster	0.1	0.0992	62	62.5	3	110302	input/input_files/configs_txt/multi_cluster_p10_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r03.txt
multi_cluster_p10_r04	multi_cluster	0.1	0.0992	62	62.5	4	110303	input/input_files/configs_txt/multi_cluster_p10_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r04.txt
multi_cluster_p10_r05	multi_cluster	0.1	0.0992	62	62.5	5	110304	input/input_files/configs_txt/multi_cluster_p10_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r05.txt
transects_p10_r01	transects	0.1	0.0992	62	62.5	1	110400	input/input_files/configs_txt/transects_p10_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p10_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r01.txt
transects_p10_r02	transects	0.1	0.0992	62	62.5	2	110401	input/input_files/configs_txt/transects_p10_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p10_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r02.txt
transects_p10_r03	transects	0.1	0.0992	62	62.5	3	110402	input/input_files/configs_txt/transects_p10_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p10_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r03.txt
transects_p10_r04	transects	0.1	0.0992	62	62.5	4	110403	input/input_files/configs_txt/transects_p10_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p10_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r04.txt
transects_p10_r05	transects	0.1	0.0992	62	62.5	5	110404	input/input_files/configs_txt/transects_p10_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p10_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r05.txt
dispersed_p25_r01	dispersed	0.25	0.2496	156	156.25	1	260100	input/input_files/configs_txt/dispersed_p25_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r01.txt
dispersed_p25_r02	dispersed	0.25	0.2496	156	156.25	2	260101	input/input_files/configs_txt/dispersed_p25_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r02.txt
dispersed_p25_r03	dispersed	0.25	0.2496	156	156.25	3	260102	input/input_files/configs_txt/dispersed_p25_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r03.txt
dispersed_p25_r04	dispersed	0.25	0.2496	156	156.25	4	260103	input/input_files/configs_txt/dispersed_p25_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r04.txt
dispersed_p25_r05	dispersed	0.25	0.2496	156	156.25	5	260104	input/input_files/configs_txt/dispersed_p25_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r05.txt
one_cluster_p25_r01	one_cluster	0.25	0.2496	156	156.25	1	260200	input/input_files/configs_txt/one_cluster_p25_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r01.txt
one_cluster_p25_r02	one_cluster	0.25	0.2496	156	156.25	2	260201	input/input_files/configs_txt/one_cluster_p25_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r02.txt
one_cluster_p25_r03	one_cluster	0.25	0.2496	156	156.25	3	260202	input/input_files/configs_txt/one_cluster_p25_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r03.txt
one_cluster_p25_r04	one_cluster	0.25	0.2496	156	156.25	4	260203	input/input_files/configs_txt/one_cluster_p25_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r04.txt
one_cluster_p25_r05	one_cluster	0.25	0.2496	156	156.25	5	260204	input/input_files/configs_txt/one_cluster_p25_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r05.txt
multi_cluster_p25_r01	multi_cluster	0.25	0.2496	156	156.25	1	260300	input/input_files/configs_txt/multi_cluster_p25_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r01.txt
multi_cluster_p25_r02	multi_cluster	0.25	0.2496	156	156.25	2	260301	input/input_files/configs_txt/multi_cluster_p25_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r02.txt
multi_cluster_p25_r03	multi_cluster	0.25	0.2496	156	156.25	3	260302	input/input_files/configs_txt/multi_cluster_p25_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r03.txt
multi_cluster_p25_r04	multi_cluster	0.25	0.2496	156	156.25	4	260303	input/input_files/configs_txt/multi_cluster_p25_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r04.txt
multi_cluster_p25_r05	multi_cluster	0.25	0.2496	156	156.25	5	260304	input/input_files/configs_txt/multi_cluster_p25_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r05.txt
transects_p25_r01	transects	0.25	0.2496	156	156.25	1	260400	input/input_files/configs_txt/transects_p25_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p25_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p25_r01.txt
transects_p25_r02	transects	0.25	0.2496	156	156.25	2	260401	input/input_files/configs_txt/transects_p25_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p25_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p25_r02.txt
transects_p25_r03	transects	0.25	0.2496	156	156.25	3	260402	input/input_files/configs_txt/transects_p25_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p25_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p25_r03.txt
transects_p25_r04	transects	0.25	0.2496	156	156.25	4	260403	input/input_files/configs_txt/transects_p25_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p25_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p25_r04.txt
transects_p25_r05	transects	0.25	0.2496	156	156.25	5	260404	input/input_files/configs_txt/transects_p25_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p25_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p25_r05.txt
dispersed_p40_r01	dispersed	0.4	0.4	250	250	1	410100	input/input_files/configs_txt/dispersed_p40_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r01.txt
dispersed_p40_r02	dispersed	0.4	0.4	250	250	2	410101	input/input_files/configs_txt/dispersed_p40_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r02.txt
dispersed_p40_r03	dispersed	0.4	0.4	250	250	3	410102	input/input_files/configs_txt/dispersed_p40_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r03.txt
dispersed_p40_r04	dispersed	0.4	0.4	250	250	4	410103	input/input_files/configs_txt/dispersed_p40_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r04.txt
dispersed_p40_r05	dispersed	0.4	0.4	250	250	5	410104	input/input_files/configs_txt/dispersed_p40_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p40_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p40_r05.txt
one_cluster_p40_r01	one_cluster	0.4	0.4	250	250	1	410200	input/input_files/configs_txt/one_cluster_p40_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r01.txt
one_cluster_p40_r02	one_cluster	0.4	0.4	250	250	2	410201	input/input_files/configs_txt/one_cluster_p40_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r02.txt
one_cluster_p40_r03	one_cluster	0.4	0.4	250	250	3	410202	input/input_files/configs_txt/one_cluster_p40_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r03.txt
one_cluster_p40_r04	one_cluster	0.4	0.4	250	250	4	410203	input/input_files/configs_txt/one_cluster_p40_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r04.txt
one_cluster_p40_r05	one_cluster	0.4	0.4	250	250	5	410204	input/input_files/configs_txt/one_cluster_p40_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p40_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p40_r05.txt
multi_cluster_p40_r01	multi_cluster	0.4	0.4	250	250	1	410300	input/input_files/configs_txt/multi_cluster_p40_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r01.txt
multi_cluster_p40_r02	multi_cluster	0.4	0.4	250	250	2	410301	input/input_files/configs_txt/multi_cluster_p40_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r02.txt
multi_cluster_p40_r03	multi_cluster	0.4	0.4	250	250	3	410302	input/input_files/configs_txt/multi_cluster_p40_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r03.txt
multi_cluster_p40_r04	multi_cluster	0.4	0.4	250	250	4	410303	input/input_files/configs_txt/multi_cluster_p40_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r04.txt
multi_cluster_p40_r05	multi_cluster	0.4	0.4	250	250	5	410304	input/input_files/configs_txt/multi_cluster_p40_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_multi_cluster_p40_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p40_r05.txt
transects_p40_r01	transects	0.4	0.4	250	250	1	410400	input/input_files/configs_txt/transects_p40_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p40_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r01.txt
transects_p40_r02	transects	0.4	0.4	250	250	2	410401	input/input_files/configs_txt/transects_p40_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p40_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r02.txt
transects_p40_r03	transects	0.4	0.4	250	250	3	410402	input/input_files/configs_txt/transects_p40_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p40_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r03.txt
transects_p40_r04	transects	0.4	0.4	250	250	4	410403	input/input_files/configs_txt/transects_p40_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p40_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r04.txt
transects_p40_r05	transects	0.4	0.4	250	250	5	410404	input/input_files/configs_txt/transects_p40_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_transects_p40_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_transects_p40_r05.txt
